Ticker,Sector,credit_rating,ROA,ROE,ROCE,EBIT_Margin,Current_Ratio,Debt/Assets,Debt/Equity,Net_Debt/EBITDA,Asset_Turnover,WCTA,RETA,Market_to_Book,Revenue_Growth_YoY,Log_Revenue,Market_Cap
OCB,Banking,A+,0.013300000000000001,0.12279999999999999,,,,0.894903886612522,8.515099728884431,38.845648283419,,,0.11053445040411915,,,,
VND,FinancialServices,A-,0.042199999999999994,0.09960000000000001,,,1.7650534078447833,0.5951316555663978,1.469938718965465,,0.12861389496073344,0.42463438821903865,0.4304617388834843,,0.2469978548405387,22.61640706581977,
PSI,FinancialServices,BB+,0.015600000000000001,0.0611,,,1.3019249115560936,0.75945325358843,3.157196116421473,,0.15277289577679248,0.22928814327723834,0.24456479903338318,,0.3888713539544318,19.983295178521093,
LPB,Banking,A+,0.020499999999999997,0.2523,,,,0.922071200783711,11.832226468991644,35.517222427291586,,,0.09042615478770318,,,,
VCI,FinancialServices,A,0.0429,0.0867,,,2.070342048408749,0.49980658367652825,0.9992266338693804,,0.13831639783362765,0.5150216330162752,0.40432602514366667,,0.3476301942332645,22.32873619403168,
ABB,Banking,A-,0.014199999999999999,0.1833,,,,0.9237090935267247,12.107722089398685,36.46979458052786,,,0.07643682223689287,,,,
VAB,Banking,A-,1.0,0.1371,,,,0.9278436491067316,12.858793960897083,46.58707928116618,,,0.07231046047491475,,,,
VIB,Banking,A,0.0139,0.1641,,,,0.9156538922935049,10.85591163826751,40.22079291993444,,,0.0883786671144435,,,,
F88,FinancialServices,BBB,0.0782,0.2263,-0.048842435124598925,-0.06805024315799676,2.20047967042545,0.6569317622736619,1.9148720004149704,4.271443544988971,0.45280885516899355,0.44312014096068575,0.34306807888141344,,0.09555470911625322,21.547663959503787,
SHS,FinancialServices,A,0.0726,0.11289999999999999,,,2.2415227028109808,0.4527636051071666,0.8273638400746945,,0.15922070802439853,0.551490115187899,0.5584328868252281,,0.8415783885308703,22.02267933910428,
BAB,Banking,A-,0.66,0.09480000000000001,,,,0.9320351165631436,13.71348068931897,106.04121726540205,,,0.06624466854310132,,,,
HDB,Banking,A,0.0203,0.2446,,,,0.9159440486260055,10.896837566570962,27.31364144013889,,,0.07916428266625916,,,,
VIC,RealEstate,A-,0.0137,0.08810000000000001,0.01785631043073779,0.028385161422813658,1.1156547014083138,0.8649478132299867,6.404545042302404,17.12850889271142,0.29676463180540164,0.061094611999702945,0.1471130314232602,,0.7600493295808958,26.530833933766456,
NAB,Banking,A-,0.0126,0.19579999999999997,,,,0.9439901968889775,16.854017412234093,51.014433331691905,,,0.05610542064349347,,,,
ACB,Banking,AA+,0.0165,0.17559999999999998,,,,0.9078620584895634,9.853292179169513,40.33947108456047,,,0.09658952549898159,,,,
ORS,FinancialServices,BBB,0.93,0.020499999999999997,,,5.306090171319362,0.4672255507533928,0.8769668879843868,,0.10352537267267999,0.8092808820104792,0.28380691163984717,,-0.2854713934567285,21.118128210192186,
APG,FinancialServices,BB-,0.13,0.23,,,1.721430644717275,0.581059852597628,1.3869758155203682,,0.06091695337659991,0.38113197018048894,0.4259728969495779,,1.9857259324172347,19.66313156454667,
NLG,RealEstate,A-,0.024700000000000003,0.04769999999999999,0.05712800430476607,0.20351910159782158,2.9821072537297204,0.4419531112818224,0.791964116665859,2.0896816238405593,0.21250479524397328,0.48155193881785935,0.5840586920054363,,-0.2155298808533289,22.45405137172006,
VPI,RealEstate,BB+,0.0304,0.07440000000000001,0.04516951113722694,0.257482381094798,2.540406789832181,0.6274062282338747,1.6838881263632437,10.99903762536218,0.13626306983860115,0.343898479207919,0.3718558443476014,,0.05627567598992651,21.418463173000664,
HDG,Manufacturing,A,0.049400000000000006,0.08960000000000001,0.08484830810002901,0.3765695548975707,1.6242632760026425,0.43136752952282303,0.7586051657599401,3.4697684846204244,0.19105543678458609,0.09492998810197063,0.5647376263376382,,0.014442945733685415,21.758151191140268,
VCK,FinancialServices,A,0.0909,0.17809999999999998,,,3.275176043183793,0.40426257773341007,0.6785918806465782,,0.17066752501090024,0.6847456302433826,0.3270160972125253,,0.27749822172123956,22.83477691541197,
GEG,Energy,A-,0.0464,0.15439999999999998,0.06874460284715717,0.32612815011070667,2.028432458586082,0.5699980138665619,1.3255706537357255,4.973735519454165,0.19845738626673454,0.06017082861540192,0.4441345777155978,,0.2896610081362747,21.82150050199036,
CMX,Manufacturing,BB,0.022000000000000002,0.0545,0.056975687634410827,0.053576429726147026,1.8491409206133853,0.6290268097445527,1.695612585001788,4.920280949267099,0.6138704428544732,0.3589777377678211,0.3716570642956928,,-0.00489320139086776,21.810745139259947,
VDS,FinancialServices,BB+,0.039,0.0955,,,1.3855816946971178,0.6184020862463974,1.620559400242683,,0.12828177098955731,0.2373125288195814,0.3883985712472826,,0.055176553091089944,20.76424881370833,
KDH,RealEstate,BBB+,0.0325,0.0518,0.06610578521165036,0.43113730156491054,9.03678586674912,0.37850389401972,0.6090205399158686,3.727571483516646,0.13757938632327307,0.8255135493262495,0.6190445327807163,,0.42226301861810783,22.26796069319374,
AGG,RealEstate,BBB-,0.060599999999999994,0.114,0.08991869804551551,0.42140886520115184,1.0119338336585402,0.35821929704437133,0.5581646431477978,3.2076701080673238,0.15137791781581383,0.003467484697983108,0.6419184598619284,,-0.5666932214593864,20.535837499918763,
BCG,RealEstate,BB,0.91,0.0208,0.02650151820224112,0.18649907598052437,1.6776216625508833,0.5401465879795987,1.174606024138047,21.222393235956968,0.10169475052812552,0.19267748794407913,0.39362656744029273,,0.150456191352919,22.27742504800892,
TIN,FinancialServices,BBB-,0.08310000000000001,0.7334,,,,0.8866989158823304,7.826040874576566,7.121267200793805,,,0.11330108417435349,,,,
