Credit_Rating,Name,Ticker,Rating Agency Name,Date,Sector,Current_Ratio,_quickRatio,_cashRatio,_dso,_netProfitMargin,_pretax_margin,_grossProfitMargin,EBIT_Margin,ROA,ROCE,ROE,Asset_Turnover,_fixedAssetTurnover,Debt/Equity,Debt/Assets,_tax_rate,_fcf_ocf_ratio,_fcf_per_share,_cash_per_share,_equityMultiplier,_ebitPerRevenue,_ev_multiple,_ocf_per_share,_ocf_sales_ratio,_payablesTurnover,Net_Debt/EBITDA,WCTA,RETA,Market_to_Book,Revenue_Growth_YoY,Log_Revenue,Market_Cap,data_source,Company_Name,Exchange,_Revenue,_Net_Income,_EBIT,_Total_Assets,_Total_Equity,_Total_Debt,_Current_Assets,_Current_Liabilities,_Is_Bank,Has_Rating,ROA_SectorRatio,ROE_SectorRatio,EBIT_Margin_SectorRatio,Current_Ratio_SectorRatio,Debt/Assets_SectorRatio,Asset_Turnover_SectorRatio,Net_Debt/EBITDA_SectorRatio
B,Scotts Miracle-Gro Company (The),SMG,Moody's Investors Service,2016-12-12,Manufacturing,1.672062047,1.777946383,0.084471421,25.27625965,0.111173795,0.138464793,0.35097493,0.161947745,0.112254343,0.177235185,0.440855705,1.009719453,6.024001699,2.927293065,0.745371689,0.354978355,0.754422915,2.931260229,14.04418985,3.927293065,0.138464793,12.49868056,3.885433715,0.083706498,11.04882459,13.807633239968856,0.1205808208264415,0.2645134229999999,2.927293065,0.06,2.7109918601774923,1000000000.0,kaggle,,,,,,,,,,,,,1.870905716666667,3.6737975416666666,1.799419388888889,0.9289233594444445,1.656381531111111,1.009719453,5.523053295987543
CCC,Uniti Group Inc.,UNIT,Moody's Investors Service,2016-12-12,Retail,0.524030864,0.524030864,0.481216869,7.239754779,-0.000275179,0.000395894,1.0,0.000395894,-6.39e-05,0.000102977,0.000151165,0.232137864,0.288538324,-3.366404387,1.0,1.695081967,0.876477441,2.161333482,1.126455176,-2.366404387,0.000395894,20.15358433,2.465931673,0.488037507,0.0,30.0,-0.2724853641445058,9.0699e-05,0.0,0.04,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.0,0.0010077666666666667,0.007917879999999999,0.3493539093333333,2.5,0.12896548,10.0
BB,"Nuance Communications, Inc.",NUAN,Standard & Poor's Ratings Services,2016-12-08,Technology,1.503244324,1.390165567,0.69709176,71.16899097,-0.006392314,0.000892297,0.574375944,0.071077422,-0.002200489,0.000349859,-0.006450477,0.344239747,10.52499608,1.931384072,0.658864217,2.0,0.902998436,1.748925988,1.986998894,2.931384072,0.000892297,16.47808634,1.936798469,0.290314603,8.768591634,27.809008759490457,0.1004316429402995,-0.0038702861999999,1.931384072,0.15,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.0,0.0,0.3948745666666667,0.6012977295999999,3.2943210849999995,0.4049879376470588,10.0
BB,Acco Brands Corporation,ACCO,Standard & Poor's Ratings Services,2016-12-08,Manufacturing,1.650344488,1.067667323,0.105561024,91.65435746,0.061331963,0.080341661,0.33080727,0.107443324,0.046258174,0.075447802,0.134753775,0.754226205,7.84828629,1.913080288,0.656720756,0.236610711,0.88848704,1.377570093,0.400934579,2.913080288,0.080341661,8.813870246,1.55046729,0.106544217,7.712805329,18.336758345264897,0.1182197703683305,0.0808522649999999,1.913080288,0.06,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.7709695666666667,1.122948125,1.1938147111111113,0.9168580488888889,1.4593794577777779,0.754226205,7.3347033381059585
B,Atkore International Group Inc.,ATKR,Standard & Poor's Ratings Services,2016-12-07,Other,2.845988224,1.915658474,0.977819765,46.02441013,0.038595653,0.056965939,0.242015145,0.083313203,0.050487391,0.090420799,0.228559433,1.308110819,7.515757899,3.527059702,0.779106072,0.322478423,0.892560295,2.237557213,3.205181961,4.527059702,0.056965939,8.730911541,2.506897545,0.102827652,10.11849139,28.054595572324832,0.1945884605318732,0.1371356598,3.527059702,0.05,2.0,1000000000.0,kaggle,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BBB,Boston Scientific Corporation,BSX,Moody's Investors Service,2016-12-07,Healthcare,0.902982994,0.561750767,0.054641762,64.06868591,0.041378488,0.021106606,0.710946816,0.053303124,0.019175508,0.012199325,0.051537205,0.46341733,5.144785276,1.687657805,0.627928824,-0.960451977,0.613168724,0.439010018,0.399970536,2.687657805,0.021106606,29.33548287,0.715969358,0.115907465,5.422818792,30.0,-0.0322321704765128,0.030922323,1.6876578050000002,0.08,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.27393582857142856,0.36812289285714284,0.4441927,0.451491497,1.7940823542857145,0.6620247571428572,10.0
BB,Teleflex Incorporated,TFX,Standard & Poor's Ratings Services,2016-12-02,Healthcare,2.767225696,1.9076105,1.27158678,53.14561567,0.127073645,0.131542531,0.533289936,0.171010912,0.061003343,0.070945646,0.111052684,0.480062901,6.167161331,0.820436048,0.45068106,0.03285787,0.870588665,8.250548182,12.55139065,1.820436048,0.131542531,17.11032796,9.476976342,0.21979875,12.5623487,7.906180747109285,0.191588170623868,0.0666316104,0.8204360479999999,0.08,2.6064891730558197,1000000000.0,kaggle,,,,,,,,,,,,,0.8714763285714285,0.7932334571428571,1.4250909333333333,1.383612848,1.2876601714285716,0.6858041442857143,5.270787164739523
BB,Ritchie Bros. Auctioneers Incorporated,RBA,Moody's Investors Service,2016-12-02,Other,1.495044179,1.035956398,0.822148129,34.14107646,0.1621342,0.230393983,0.883364083,0.23962429,0.057411757,0.096899159,0.133659944,0.354100228,1.099732054,1.328093593,0.570464004,0.283400003,0.794568535,1.323094557,1.959536407,2.328093593,0.230393983,21.93796276,1.665173611,0.313487937,0.529792933,7.141980522926119,0.0993370335044794,0.0801959664,1.3280935930000002,0.05,2.0,1000000000.0,kaggle,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BBB,STMicroelectronics N.V.,STM,Standard & Poor's Ratings Services,2016-12-02,Technology,2.822418136,1.828085642,1.02581864,49.15172809,0.02437975,0.02882547,0.352072279,0.030689804,0.021228771,0.031308411,0.037486218,0.870754246,3.048972453,0.752370452,0.426073926,-0.154228856,1.0,0.955732123,2.229284904,1.765821389,0.02882547,11.01395789,0.955732123,0.12075147,7.287096774,30.0,0.1937081659965637,0.0224917308,0.7658213890000001,0.15,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.23587523333333335,0.2342888625,0.17049891111111112,1.1289672544,2.1303696299999997,1.02441676,10.0
BB,Nabors Industries Ltd.,NBR,Moody's Investors Service,2016-12-02,Energy,1.40624308,0.977641757,0.32130682,83.28679721,-0.462215627,-0.537774498,0.396591046,-0.537774498,-0.125777466,-0.16266963,-0.317133992,0.272118593,0.355454248,1.52138958,0.6033933,0.155942658,0.256530771,0.493534678,1.067734877,2.52138958,-0.537774498,-24.10680251,1.923881002,0.238753788,5.080913757,30.0,0.0866656168718711,-0.1902803951999999,1.52138958,0.05,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.0,0.0,0.0,0.9374953866666668,1.2067866,0.544237186,10.0
